row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,5_Ext_blank.mzXML Peak height,13_Brote_50 _ 1mg_3.mzXML Peak height,46_Brote_33_4mg_3.mzXML Peak height,28_Brote_24_ 8mg_3.mzXML Peak height,11_Callo_52_9mg_3.mzXML Peak height,19_Brote_22_3mg_2.mzXML Peak height,44_QC.mzXML Peak height,35_Brote_76_08mg_3.mzXML Peak height,37_Brote_27_8 mg_1.mzXML Peak height,66_QC.mzXML Peak height,42_Callo_56_2mg_2.mzXML Peak height,43_Brote_33_5 mg_2.mzXML Peak height,59_Callo_40_2mg_2.mzXML Peak height,15_Brote_76_08mg_1.mzXML Peak height,55_QC.mzXML Peak height,39_Callo_52_9mg_1.mzXML Peak height,57_Brote_27_8 mg_3.mzXML Peak height,41_Brote_12_5mg_3.mzXML Peak height,14_Brote_44_2 mg_2.mzXML Peak height,17_Brote_33_5 mg_3.mzXML Peak height,9_QC.mzXML Peak height,22_Brote_76_08mg_2.mzXML Peak height,52_Brote_14_5mg_3.mzXML Peak height,20_Brote_6_6mg_1.mzXML Peak height,12_Brote_14_5mg_1.mzXML Peak height,51_Brote_33_5 mg_1.mzXML Peak height,63_Brote_6_8mg_2.mzXML Peak height,18_Brote_6_6mg_2.mzXML Peak height,65_QC.mzXML Peak height,32_QC.mzXML Peak height,23_Brote_50 _ 1mg_2.mzXML Peak height,58_Brote_22_3mg_1.mzXML Peak height,62_Callo_56_2mg_1.mzXML Peak height,54_Brote_44_2 mg_1.mzXML Peak height,30_Brote_33_4mg_2.mzXML Peak height,60_Brote_50 _ 1mg_1.mzXML Peak height,38_Callo_40_2mg_3.mzXML Peak height,25_Brote_44_2 mg_3.mzXML Peak height,24_Brote_33_4mg_1.mzXML Peak height,31_Brote_22_3mg_3.mzXML Peak height,47_Brote_12_5mg_1.mzXML Peak height,27_Brote_12_5mg_2.mzXML Peak height,21_QC.mzXML Peak height,16_Brote_25_ 3 mg_1.mzXML Peak height,10_QC.mzXML Peak height,64_Brote_25_ 3 mg_2.mzXML Peak height,34_Brote_14_5mg_2.mzXML Peak height,53_Brote_24_ 8mg_2.mzXML Peak height,29_Brote_25_ 3 mg_3.mzXML Peak height,49_Brote_27_8 mg_2.mzXML Peak height,45_Callo_52_9mg_2.mzXML Peak height,26_Brote_6_8mg_1.mzXML Peak height,36_Callo_40_2mg_1.mzXML Peak height,50_Brote_24_ 8mg_1.mzXML Peak height,40_Brote_6_6mg_2.mzXML Peak height,48_Brote_6_8mg_3.mzXML Peak height,61_Callo_56_2mg_3.mzXML Peak height,
3,83.0313187211921,49.648335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2468.8865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166.7617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2035.9749,0,0,0,0,
7,57.00519949029633,49.650833,,,,,,,,,,,0,0,0,0,0,0,0,2921.7234,3312.7812,0,0,3478.0,0,0,0,4040.0942,2095.2668,0,0,0,0,0,3308.248,0,0,0,0,0,0,0,0,0,3427.9497,0,0,0,0,3431.7185,0,0,0,0,0,0,0,0,3321.1565,0,0,3114.7673,4102.3745,0,0,0,0,0,3233.6477,
8,57.006111784718435,49.65687,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4412.266,0,0,0,0,0,0,4150.82,3628.3923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078.0,0,0,0,0,0,2827.8108,3748.6982,4173.9033,0,0,0,2714.3464,0,0,0,0,0,0,0,0,0,0,0,
9,57.0019550534177,49.691666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4529.7505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302.7656,0,0,0,4511.054,0,
10,57.00098474259712,50.031666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28774.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26819.174,0,0,0,28311.38,0,
11,57.01212209414823,50.033752,,,,,,,,,,,0,0,0,0,0,0,9827.321,0,0,0,0,0,0,0,0,0,0,0,0,0,7599.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9915.835,0,7008.0776,0,0,0,0,0,0,0,0,0,0,0,0,
12,57.00519988674371,50.0355,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8380.426,0,0,0,0,7965.2017,0,0,11328.139,0,0,0,0,0,10869.698,0,0,0,11254.084,7416.1816,9500.992,0,0,0,0,0,0,0,0,0,0,10695.979,11676.21,0,0,0,0,0,0,0,0,0,0,0,0,11082.331,0,0,
15,57.00796360902947,50.066196,,,,,,,,,,,0,5880.941,0,5696.9062,6927.968,0,0,4338.2837,0,0,5398.7383,0,4210.9697,4965.207,0,10780.0,0,0,4930.7534,0,0,5390.002,0,0,0,0,0,0,0,0,6616.088,0,4328.6045,4256.2754,0,4615.0,6231.759,4778.9717,0,0,0,0,0,0,0,0,0,5323.386,0,0,10385.0,0,5973.0093,5010.6304,0,0,4029.2625,
19,75.00239057104585,50.20167,,,,,,,,,,,0,0,0,24762.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22020.55,0,0,0,0,0,20882.45,0,0,0,
23,74.00328184862502,50.480625,,,,,,,,,,,0,4251.6187,0,0,0,0,0,0,0,0,0,6341.643,0,0,0,0,0,6108.6387,5036.256,0,0,6568.283,0,0,0,0,0,0,0,0,0,0,0,0,4950.599,0,0,0,4263.538,0,0,4442.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,74.0019869733703,50.48524,,,,,,,,,,,0,0,8260.523,3833.5283,0,0,9863.693,8996.547,4992.868,11705.56,11425.801,0,26220.03,4027.131,12735.93,21239.734,5629.274,0,0,0,0,0,8290.9795,19655.959,0,5717.9746,5914.324,15536.677,7091.4463,12791.782,14740.268,5202.014,21053.348,12018.763,0,33324.984,18010.588,9949.677,0,4045.9568,7605.8325,0,5813.2065,0,0,11495.951,6348.237,7104.9883,4356.8843,6374.1343,29954.518,0,16045.001,8072.2134,22414.756,5115.3237,19559.324,
28,354.9053550263442,50.932,,,,,,,,,,,0,0,0,0,0,0,1999.1893,0,0,2211.1465,0,0,0,0,1876.4802,0,0,1987.78,0,0,0,0,0,0,0,0,1835.6117,0,1875.7041,1790.0,0,0,0,0,0,0,0,0,0,0,2218.4282,1598.7878,0,0,0,0,0,0,0,0,0,0,0,0,0,1776.0396,0,
29,57.00157793853703,51.158752,,,,,,,,,,,0,0,0,4805.3403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3559.0,3862.063,0,0,0,0,3192.1196,0,0,0,0,
30,57.00189494331325,51.167,,,,,,,,,,,0,0,0,0,0,0,0,0,2517.2495,0,0,3338.0938,0,0,0,0,0,0,0,2878.831,0,0,3090.0,0,0,2505.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,57.00658351671206,51.247913,,,,,,,,,,,0,0,0,0,0,0,6839.563,0,0,5651.6733,0,0,0,0,5414.614,0,0,7909.951,0,0,5913.493,0,0,7824.248,0,0,0,8244.431,4965.493,6423.1895,0,0,0,0,0,0,0,0,0,0,7145.622,7835.177,7141.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,57.00298645104087,51.248333,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19610.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19037.94,0,0,0,19816.266,0,
37,130.99857656976144,51.37208,,,,,,,,,,,0,0,0,9423.8,0,0,0,0,0,6586.741,0,0,0,0,5972.0625,0,0,0,0,0,0,0,9347.15,0,4446.4634,0,19566.463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8819.459,6272.598,16205.507,0,0,0,7713.871,0,16656.672,0,17104.01,0,
42,81.01144447334897,51.958748,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193.5437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818.0925,2841.8923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446.2527,
43,81.0139119344555,51.960003,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2331.967,0,0,1987.8385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957.3844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,151.00154930219102,52.052505,,,,,,,,,,,0,0,0,1790.5833,3185.6047,0,2337.4302,0,0,0,0,0,3316.3655,0,0,4421.5366,0,3070.846,4116.9897,0,0,1830.8837,8762.059,5313.5635,6736.6826,0,0,5387.941,0,2211.1868,2357.254,0,0,4797.5156,0,0,4484.8955,4816.072,0,0,2791.1526,2942.967,2200.0562,0,0,0,7654.331,0,0,0,4442.8096,0,4203.134,0,5727.633,0,0,
46,135.0,52.36667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10061.045,0,0,13835.868,0,0,0,0,14414.056,0,0,0,0,0,0,0,0,
48,134.99939637090125,52.36889,,,,,,,,,,,0,4914.1855,0,0,3310.8613,0,0,0,0,0,0,0,0,0,0,4416.856,0,0,0,0,0,0,0,0,3169.6921,0,0,0,0,0,6069.761,0,5997.082,0,0,4385.028,0,0,0,0,0,0,0,0,0,0,3052.4792,0,0,0,4080.4558,0,0,0,0,0,0,
51,135.00470385530403,52.388336,,,,,,,,,,,0,0,0,3912.7078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4103.5474,0,0,0,0,0,4049.7776,0,0,0,
53,57.00630939725993,52.392853,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3827.3103,0,0,0,0,3852.9285,0,0,0,0,0,4150.1865,0,0,0,0,0,0,0,3610.8137,4528.177,0,0,0,0,0,0,0,0,0,0,0,0,5314.4556,0,3826.2678,0,0,0,0,0,0,0,0,0,0,0,0,
56,57.00122523647739,52.396667,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11888.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11753.212,0,0,0,12129.753,0,
57,57.00924255959626,52.40167,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6043.8096,0,0,0,6231.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5698.203,0,0,
58,354.9137028635221,52.436153,,,,,,,,,,,0,0,0,0,0,0,2510.0,0,0,2241.0754,0,0,0,0,2055.1077,0,0,2208.5127,0,0,0,0,0,0,0,0,1988.0863,0,1970.659,1871.1412,0,0,0,0,0,0,0,0,0,0,2327.3684,1898.7345,1626.4253,0,0,0,0,0,0,0,0,1599.0693,0,0,1719.5695,1928.6084,0,
59,55.001567685917415,52.48,,,,,,,,,,,0,4172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3835.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479.7578,0,0,0,0,
60,57.009318644935185,52.483,,,,,,,,,,,0,0,0,0,4501.7773,0,0,3212.3088,0,0,0,0,0,4095.197,0,4960.7026,0,0,4568.0,0,0,4235.144,0,0,0,0,0,0,0,0,4025.0,0,0,3281.264,0,0,0,4410.0,0,0,0,0,0,0,0,0,0,0,0,0,4697.151,0,0,0,0,0,0,
61,97.00287317824346,52.48875,,,,,,,,,,,0,0,2096.4233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339.3198,0,2311.1187,0,0,0,2415.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,75.00346840805764,52.63,,,,,,,,,,,0,3943.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4290.0,0,0,0,0,0,0,0,4916.9546,0,0,0,0,0,
85,81.01349035773349,52.64444,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2216.47,0,0,2064.9932,0,2239.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859.6482,3017.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4424.0,0,2547.5266,3556.0,0,0,4388.0,0,0,0,
91,81.01424824156119,52.645714,,,,,,,,,,,0,0,2453.8223,0,0,0,0,0,2309.7046,0,0,0,0,0,0,0,0,3006.5981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2486.0278,0,0,0,0,0,0,2777.7954,0,0,0,0,2689.0,0,0,0,0,0,0,0,0,0,0,2686.0,
92,57.004585513212696,52.647697,,,,,,,,,,,0,0,0,0,0,0,0,2783.0,0,0,4096.5513,0,0,0,0,3824.865,0,0,0,0,0,0,3044.384,0,0,2474.0,3465.0,0,2250.0,3030.0,0,0,0,0,0,2322.295,3156.0,2933.3262,0,0,0,0,0,0,0,0,0,0,0,0,3643.868,0,2854.0,0,0,0,0,
109,55.0,52.818333,,,,,,,,,,,0,4637.9653,0,0,4338.583,4357.144,0,0,0,0,0,0,0,0,0,0,0,4563.119,0,3749.14,2856.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4298.612,0,0,0,0,0,0,0,0,0,0,0,4146.366,0,3884.4092,0,
114,74.00292735785753,52.82548,,,,,,,,,,,0,0,11570.675,0,0,0,6539.6343,6794.434,5089.092,6861.2915,8637.997,7361.042,12746.49,4340.0,7295.842,11953.551,5118.587,0,5392.751,0,0,6932.0,5179.304,9045.824,0,6715.036,3927.1497,7168.129,4583.575,7729.39,9128.19,5202.962,13545.0205,10810.635,7422.462,15937.846,10512.037,9802.569,6375.0933,4618.6924,4882.0,0,5271.0,0,0,4409.748,4288.0825,0,0,5986.331,16094.984,0,9449.622,0,9872.85,0,12281.51,
124,55.0,52.906666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3397.1746,0,3791.6377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3576.431,0,0,0,0,0,0,0,0,0,0,
129,81.01587345479022,52.914165,,,,,,,,,,,0,0,0,0,0,0,0,0,2331.0,0,0,3216.56,0,0,0,0,0,2956.5264,0,3058.0,0,0,0,0,0,0,2247.0,0,0,0,3085.0,0,0,0,0,0,0,2584.1357,0,0,2556.292,0,0,4774.0,0,0,0,0,3085.0,2211.9614,0,3081.848,0,0,0,0,0,
130,55.00102577238788,52.914547,,,,,,,,,,,0,0,0,0,0,0,5598.499,0,0,3804.941,0,0,0,0,3904.0676,0,0,0,0,0,3779.2673,0,0,7647.0283,0,0,0,6733.02,3581.3691,5031.2637,0,0,0,0,0,0,0,0,0,0,0,0,6069.9624,0,4494.77,0,0,0,0,0,0,0,0,0,6577.4346,0,0,
134,81.01316854751468,52.917503,,,,,,,,,,,0,0,0,0,0,3209.6555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845.3328,0,0,0,0,2998.9775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425.3909,0,
143,164.99872920579057,53.00152,,,,,,,,,,,0,2674.0,6906.7236,0,2878.0,9387.119,3089.7493,6061.597,9151.991,2822.0002,2335.0,9522.302,2811.3086,6107.0654,2740.201,3310.8726,6772.6436,2425.0,2447.621,7282.639,1928.474,7288.9663,3893.3005,0,3063.9092,8259.475,2543.5789,0,2315.4795,3036.38,3297.0,7383.316,2065.7822,2809.073,7100.5815,2210.238,3469.8503,2782.354,7386.991,9276.6875,0,2591.0,2797.3608,7216.876,2286.0,7564.6235,3390.1624,0,7345.386,9391.294,3431.1768,2436.7126,2968.21,0,0,2578.9,1942.7051,
158,135.99603309446442,53.115,,,,,,,,,,,0,0,0,0,3481.0,0,0,0,0,0,0,0,0,0,0,0,0,3655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4435.773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,55.00103570421359,53.135,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,4445.8374,0,0,0,0,0,0,0,0,0,2814.0,0,0,0,0,0,0,0,0,0,4701.47,0,0,0,0,0,0,0,0,0,0,0,4377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,96.98531231064885,53.14,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2449.0,0,0,0,0,2414.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2218.4148,0,0,2265.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
226,81.03008659540986,53.336666,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613.0,0,0,0,2197.4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2510.0,0,0,0,
248,81.024093659412,53.375,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3183.98,0,0,0,0,0,0,0,0,0,0,2572.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2953.8657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
271,135.0,53.440002,,,,,,,,,,,0,0,0,0,2521.5918,0,0,0,0,0,0,0,0,0,0,3414.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5547.951,0,0,0,0,0,0,0,0,
300,55.00089798906055,53.476665,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6926.254,4817.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183.0,0,0,0,0,0,0,0,0,0,0,
309,253.89068035373808,53.480003,,,,,,,,,,,0,0,0,0,0,0,0,0,988.0,0,0,1017.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884.1095,0,0,0,0,0,0,0,0,0,0,1063.0,0,0,894.7813,0,0,0,0,
312,96.00193584109259,53.483334,,,,,,,,,,,3513.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5571.5312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730.0,0,0,0,
318,55.0,53.48833,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4309.69,0,0,0,0,0,0,4274.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3575.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
330,132.96975202291566,53.50375,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2273.0,0,1868.0,0,0,0,0,0,0,0,3237.0405,0,0,0,0,0,2951.6526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
335,266.88882895145105,53.516003,,,,,,,,,,,0,0,0,0,0,0,0,1361.0,0,1513.2046,0,0,0,0,0,0,0,0,0,0,0,0,0,1341.0,0,0,0,0,0,0,0,1361.0,0,0,0,0,1639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
620,135.0009347013398,53.927856,,,,,,,,,,,0,0,0,0,0,2409.0,0,0,0,2646.8765,2863.0,2510.0,2231.0,1863.0,2422.0,0,1993.0,2847.0,0,1985.0,0,2665.0,0,0,0,2468.0,0,2514.0,0,0,0,2086.0,0,2351.0,2434.0,0,0,0,0,0,2759.0,0,2546.0,0,0,3242.0,2212.0,0,3028.0,0,0,0,0,0,0,0,0,
622,73.0,53.935997,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11089.0,0,0,0,0,0,0,0,0,0,0,9753.0,0,0,0,0,0,0,0,0,0,0,12167.0,12094.593,0,
623,280.904717021259,53.936428,,,,,,,,,,,0,0,0,0,0,0,0,7056.3545,0,0,0,0,0,0,0,0,0,0,0,0,5287.379,0,7638.0,0,0,0,0,0,8364.91,0,7057.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7962.0,8080.244,0,0,0,0,0,0,
624,72.99999999999999,53.95,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10898.0,0,0,0,12036.399,0,0,0,0,0,0,0,0,0,0,10273.0,0,0,0,0,
627,73.00069459642472,53.96,,,,,,,,,,,0,0,0,0,0,0,0,0,10915.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10721.0,0,0,0,0,0,0,0,0,0,0,0,11849.976,0,0,0,0,0,0,0,0,11457.521,
